nombre,categoria,direccion,telefonos,telefonos_notas,email,instagram,web,etiquetas,latitud,longitud,fuente,estado_confirmacion,nombre_relacionado_osm,posible_duplicado,url_origen,fecha_extraccion
Burung Hantu,Cabañas,Sargento Baigorria Sur 80,2664259455 | 1126355548,,cabanasburunghantu@gmail.com,@bhmerlo,http://bhmerlo.com.ar/,Pet Friendly | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/burung-hantu/,2026-08-31
Casa Atardeceres,Vatt,Nelson Mandela 385,2664011612,,casaatardeceres@hotmail.com,@casa_atardeceres,,Pileta,-32.330404,-64.9928795,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Pasos del Atardecer,,https://villademerlo.tur.ar/alojamiento/casa-atardeceres/,2026-08-31
Casa Colibri,Vatt,calden 283,2664367490,,,,,Pet Friendly,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/casa-colibri/,2026-08-31
Colores,Hotel,"Victorino de La Plaza 153, Rincón del Este.",02656475355 | 1161888912,,,@hotelcoloresmerlo,http://www.hotelcolores.com/,Apto para Celíacos | Pileta,-32.4156128,-65.0087758,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas de Colores,,https://villademerlo.tur.ar/alojamiento/amancay-copia/,2026-08-31
Complejo Calas,Cabañas,Cerro Champaqui 259,2664615359,,calasmerlo@gmail.com,,https://villademerlo.com/calas-2/,Pileta,-32.3513294,-64.976312,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Complejo La Aldea,misma dirección que ['Complejo Entre Marte y la Luna'],https://villademerlo.tur.ar/alojamiento/complejo-calas/,2026-08-31
Complejo Entre Marte y la Luna,Cabañas,Cerro Champaqui 259,2664848504,,entremarteylaluna@gmail.com,,http://www.entremarteylaluna.com.ar,Pileta,,,oficial,Confirmado en directorio oficial,,misma dirección que ['Complejo Calas'],https://villademerlo.tur.ar/alojamiento/complejo-entre-marte-y-la-luna/,2026-08-31
Complejo Galileo,Cabañas,Las Lajas 701,2664734713,,merlo.galileo@gmail.com,@ComplejoGalileo,,,-32.3513294,-64.976312,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Complejo La Aldea,,https://villademerlo.tur.ar/alojamiento/complejo-galileo/,2026-08-31
Complejo Los Espinillos de Merlo,Cabañas,Av. Alberto Pepe Mercau 1002,1154122649,,complejolosespinillos@gmail.com,,https://www.complejolosespinillos.com.ar/,Pileta,-32.3484643,-65.0038866,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Epic Hotel Villa de Merlo,,https://villademerlo.tur.ar/alojamiento/complejo-los-espinillos-de-merlo/,2026-08-31
Cuyá,Cabañas,Malva 727,2665246128,,,@CabaniasCuya Facebook: Cabañas Cuyá,,Pet Friendly | Pileta,-32.3779396,-65.0092413,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Cuyà,,https://villademerlo.tur.ar/alojamiento/cuya/,2026-08-31
Despertar Serrano,Cabañas,Padre Tissera 849,2664849489,,,@despertarserrano Telefóno fijo.: 2656478383,https://despertarserrano.com.ar,Pileta,-32.3441583,-65.0006465,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Despertar Serrano,,https://villademerlo.tur.ar/alojamiento/despertar-serrano/,2026-08-31
Dúplex Don Valentín,Cabañas,Doctor Luis G. Volonte 50,2664518931,,fvb1966@gmail.com,,https://casa.mercadolibre.com.ar/MLA-1560960831-alojamiento-en-merlo-san-luis-cabanas-duplex-y-departamentos-para-1-y-hasta-7-personas-_JM,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/duplex-don-valentin/,2026-08-31
Dúplex El Remanso,Cabañas,Cerro De Las Lajas 155.,2664164685,,complejoremansomerlo@gmail.com,@complejoremansomerlo,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/duplex-el-remanso/,2026-08-31
Dúplex Sandra,Vatt,San Luis 2055,02656478142 | 2664615174,,sandrakrysa1964@gmail.com,@DuplexSandraa,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/duplex-sandra-2/,2026-08-31
Ecos de las Sierras,Vatt,Fray Rapozo 194 y Carlos Gardel,,,,,,Pileta,,,oficial,Confirmado en directorio oficial,,nombre parecido a 'Posada de las Sierras' (similitud 0.85),https://villademerlo.tur.ar/alojamiento/ecos-de-las-sierras/,2026-08-31
El Cardal,Vatt,El Quirquincho 210,2267675933,,elcardalmerlo@yahoo.com.ar,@elcardal.merlo Facebook: @elcardal,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/el-cardal/,2026-08-31
El Cortijo,Hotel,Pablo Tissera 1200,2656408390,,reservas@elcortijomerlo.com.ar,@Hotel_Elcortijo,,Pileta | Pileta Climatizada,-32.3444426,-64.9980402,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Hotel El Cortijo,,https://villademerlo.tur.ar/alojamiento/el-cortijo/,2026-08-31
El Puente,Hostería,Cerro Cabeza del Indio 516,2665138910,,elpuente2001@gmail.com,@hotel.elpuente Facebook: Hotel Boutique El Puente,,Pileta | Solo para adultos,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/el-puente/,2026-08-31
El Viejo Algarrobo,Hostería,Chumamaya 2476,2664771600,,informes@elviejoalgarrobo.com.ar,@elviejoalgarrobo,http://www.elviejoalgarrobo.com.ar,Pileta,-32.3401539,-64.9863783,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,El Viejo Algarrobo - Hostería Serrana,,https://villademerlo.tur.ar/alojamiento/el-viejo-algarrobo/,2026-08-31
Epic Villa de Merlo,Hotel,Av Eva Duarte 121,2665470800 | 2664577698,,recepcion.vdm@epic-hoteles.com.ar,@Epic.Hotel.Merlo,http://epichotelmerlo.com,Accesible | Pileta | Pileta Climatizada,-32.3484643,-65.0038866,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Epic Hotel Villa de Merlo,,https://villademerlo.tur.ar/alojamiento/epic-villa-de-merlo/,2026-08-31
Estilo MB,Hotel,Ruta Provincial 5 Nro. 3680,02665295237 | 2656470120,,hotelestilombmsl@gmail.com,@HotelEstiloMbMerlo,https://www.estilombmerlo.com,Pileta | Pileta Climatizada,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/estilo-mb/,2026-08-31
Euzkadi,Cabañas,Marte y Las Marías,2262535214,,,@CABAnaseuzkadi,,Pileta,-32.3508426,-65.0004624,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Euskadi,,https://villademerlo.tur.ar/alojamiento/euzkadi/,2026-08-31
Guemes,Vatt,Guemes 35 y Las Lajas,,,,,,Pet Friendly,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/guemes/,2026-08-31
Horus,Vatt,H. Irigoyen esq Juan B Justo Teléfono 2656473030 Whatsapp 1162205534,,,info@horus-sl.com.ar,"@cabaniashorusmerlo Facebook: Cabañas Horus, Merlo San Luis.",,Pileta,-32.3513581,-64.972013,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Horus,,https://villademerlo.tur.ar/alojamiento/horus/,2026-08-31
Howard Johnson,Hotel,Ruta Prov. Nº1 Km 1,02656473600 | 2664506986,,reservas@hjmerlo.com.ar,@Hjmerlo,https://hjmerlo.com.ar/portal/es-es/1952/inicio,Accesible | Pileta | Pileta Climatizada,-32.3674573,-65.0178732,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Haward Johnson,,https://villademerlo.tur.ar/alojamiento/epic-villa-de-merlo-copia/,2026-08-31
La Candela,Posada,"Cerro Las Lajas 382, Esq. Poeta Conti",2664011832 | 01136053952,,posadalacandela1690@gmail.com,@Posadalacandela1690,,Pileta,-32.352276,-65.0100628,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Posada Candela,,https://villademerlo.tur.ar/alojamiento/la-candela/,2026-08-31
La Herencia,Vatt,Dama de Noche 625 esquina calle publica 21,1159238242,,,@ laherenciamerlo,,Accesible | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/la-herencia/,2026-08-31
La Soñada,Cabañas,Ruta 1 KM. 4,2664906832,,info@cabaniaslasoniada.com,@lasoniadacabaniasyspa,https://www.cabaniaslasoniada.com.ar/,Accesible | Pileta | Pileta Climatizada,-32.3736842,-65.0183623,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas La Soñada,,https://villademerlo.tur.ar/alojamiento/la-sonada/,2026-08-31
La Tranquilidad,Cabañas,Jorge Cafrune 2198,2656408940,,,@LaTranquilidadmerlosl,,Pet Friendly | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/la-tranquilidad/,2026-08-31
Las Tinajas,Cabañas,Calle Argentina s/n,2665283645,,campolastinajaspromos@gmail.com,@lastinajasmerlo,http://www.campolastinajas.com.ar,Pet Friendly | Pileta Climatizada,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/las-tinajas/,2026-08-31
Lo de Emilio,Vatt,Rincón del Este,01156352873,,,,,Pet Friendly | Pileta,-32.3430565,-64.9675976,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Lo de Emilio,,https://villademerlo.tur.ar/alojamiento/lo-de-emilio/,2026-08-31
Los Álamos,Posada,Neptuno 513,1168203003,,losalamosposada@gmail.com,@Posadalosalamos.merlo Facebook: Posada Los Alamos Merlo San Luis Tik Tok: posada.los.alamos.merlo,https://losalamosposada.com.ar/,Pileta,-32.3479997,-65.0051371,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Posada Los Alamos,,https://villademerlo.tur.ar/alojamiento/posada-los-alamos/,2026-08-31
Los Aromos,Vatt,cuesta de las granadillas 1000,1151017240,,,@losaromos_,https://www.cabaniaslosaromos.com.ar/,Pileta,-32.3761799,-65.0057198,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Los Aromos,,https://villademerlo.tur.ar/alojamiento/los-aromos/,2026-08-31
Los Basco´s,Vatt,Cerro Champaqui 136,2657529095,,,@losbascos,http://www.losbascos.com.ar/,Pileta,-32.3379385,-65.0132353,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Los Paraísos,,https://villademerlo.tur.ar/alojamiento/los-bascos/,2026-08-31
Los Damascos,Cabañas,San Roque Esquina Las Madreselvas,1158108492,,damianpresutti1@gmail.com,@Losdamascosmerlosanluis Mascostas solo de porte pequeño.,,Pet Friendly | Pileta,-32.3379385,-65.0132353,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Los Paraísos,,https://villademerlo.tur.ar/alojamiento/los-damascos/,2026-08-31
Luz del Rincón,Vatt,Maipú 82 (Entre Reina Mora y Los Pájaros),3416864657,,,@luz_del_rincon,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/luz-del-rincon/,2026-08-31
Marisol Dolce,Cabañas,Los Tilos 220,2664757684,,labonituramerlosanluis@gmail.com,@Labonitura.merlo,,Accesible | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/marisol-dolce/,2026-08-31
Merlo Trail Lodge,Cabañas,Avenida Jose A. Mercau 163,2664906775,,merlotraillodge@gmail.com,@MerloTrailLodge,https://www.merlotraillodge.com.ar/,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/merlo-trail-lodge/,2026-08-31
Morada del Cóndor,Cabañas,"Laurel 710, Cerro de Oro",1159592545,,,@moradadelcondor,http://www.moradadelcondor.com.ar/,Pileta,-32.3383061,-65.0037913,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,morada de zorro,,https://villademerlo.tur.ar/alojamiento/morada-del-condor/,2026-08-31
Nogales del Rincón,Cabañas,Av de los Cesares 2190,2664882848,,nogalesdelrinconmerlo@gmail.com,@ nogalesdelrincon,http://www.nogalesdelrincon.com.ar,Pet Friendly | Pileta | Pileta Climatizada,-32.346801,-64.9914677,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,AOMA Terrazas del Rincón,,https://villademerlo.tur.ar/alojamiento/nogales-del-rincon/,2026-08-31
Nona Olga,Cabañas,Cerro Blanco Y Cañada De Los Zainos,2664555493,,haydblanco@yahoo.com.ar,@haydeebiassi,,Pet Friendly | Pileta,-32.3487803,-65.0109913,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Nona Olga,nombre parecido a 'Nona Olga II' (similitud 0.86),https://villademerlo.tur.ar/alojamiento/nona-olga/,2026-08-31
Nona Olga II,Cabañas,Coronel Pringles 162,2664555493,,haydblanco@yahoo.com.ar,@haydeebiassi,,Pet Friendly | Pileta,-32.3487803,-65.0109913,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Nona Olga,nombre parecido a 'Nona Olga' (similitud 0.86),https://villademerlo.tur.ar/alojamiento/nona-olga-ii/,2026-08-31
Oli House,Vatt,Conlara 555,2664347794,,olimaganja1@gmail.com,,,,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/oli-house/,2026-08-31
Paradiso Hotel & Spa,Hotel,Av. Del Sol 1389,2664256208 | 2656475118,,administracion1@paradisohotel.com,@paradisohotelspa Facebook: Paradiso Hotel & Spa,,Pileta | Pileta Climatizada,-32.3379385,-65.0132353,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Los Paraísos,,https://villademerlo.tur.ar/alojamiento/paradiso-hotel-spa/,2026-08-31
Pio Pio,Cabañas,Jupiter 1349,1144171869,,,,http://www.cabanaspiopiomerlo.com.ar/,Pileta | Pileta Climatizada,-32.349308,-64.9970563,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas & Spa Pio Pio,,https://villademerlo.tur.ar/alojamiento/pio-pio/,2026-08-31
Posada de las Sierras,Vatt,Cerro Azul 237 y Poeta Conti,,,,,,Pileta,-32.3465172,-65.0093565,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Hotel Mirasierras,nombre parecido a 'Ecos de las Sierras' (similitud 0.85),https://villademerlo.tur.ar/alojamiento/posada-de-las-sierras/,2026-08-31
Rincón del Tomero,Cabañas,Huracán 24.,1161537904 | 1158435022,Evelyn | Rita,,@rincondeltomero.merlo,,Pet Friendly | Pileta,-32.3431759,-65.0055011,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Rincón Dorado,,https://villademerlo.tur.ar/alojamiento/el-rincon-del-tomero/,2026-08-31
Rumi Cani,Cabañas,"Avenida de LA Luna 202, esq, Júpiter.",358154301496,,,@cab.rumicani,http://www.rumicani.com.ar/,Pet Friendly | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/rumi-cani/,2026-08-31
Tara Inti,Vatt,Las Lajas 160,2664555211,,,@complejo.tarainti,,Accesible | Apto para Celíacos,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/tara-inti/,2026-08-31
Tatiana,Vatt,Juan de Videla 868 Whatsapp 1161266696,,,,@elcardal.merlo,https://apartstatiana.wordpress.com/,Pileta,-32.3518342,-65.0084739,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Tijuana,,https://villademerlo.tur.ar/alojamiento/horus-copia/,2026-08-31
Terraza terraza Merlo Apartments,Cabañas,Cacique Catriel n°26,2664326312,,terrazaterraza.merloapartments@gmail.com,@Terrazaterraza.merloapartments Facebook: Terraza Terraza Merlo Apartments,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/terraza-terraza-merlo-apartments/,2026-08-31
Uma-In,Cabañas,Tres Marías 1010,2664253183,,marcelidiamunoz@gmail.com,@cabanasumainmerlosanluis35,,,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/uma-in/,2026-08-31
Hotel Colonial,hotel,,,,,,,,-32.3444295,-64.9956015,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/1591598638,2026-09-01
Hotel El Hornero,hotel,,,,,,,,-32.3465623,-64.9947534,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/1591598654,2026-09-01
Hotel Valle del Sol,hotel,,,,,,,,-32.3477784,-65.0108727,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/1591598660,2026-09-01
La Barraca,hotel,,,,,,,,-32.3394531,-64.989744,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/1591598668,2026-09-01
Planetario Hotel,hotel,,,,,,,,-32.3471332,-64.9996952,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/1591598669,2026-09-01
Cabañas Agrippina,chalet,"Avenida de la Juventud, Villa de Merlo",+54 9 2664632541,,agrippinamerlo@gmail.com,,http://www.agrippina.com.ar/,,-32.3316887,-65.0018629,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2306859768,2026-09-01
Casa Grande HOSTEL,hostel,,,,,,,,-32.3429502,-64.9960291,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2337660366,2026-09-01
Cabañas El Maitén,hotel,"Cerro de los Linderos 1281, Villa de Merlo",+54 2656 474368,,,,https://www.argentinaturismo.com.ar/elmaitencabanas/,,-32.3527037,-64.996323,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2578722536,2026-09-01
Complejo Brisa Serrana,hotel,"Marte 423, Merlo",+54 2656 47 3510,,,,https://brisaserrana.com.ar/,,-32.34613,-65.0000941,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2578786925,2026-09-01
Cerros del Sol,chalet,"Avenida Dos Venados 3500, Villa de Merlo",+54 266 4321368,,claudiamatteomerlo@hotmail.com,,https://www.cerrosdelsolmerlo.com.ar/,,-32.3262019,-64.9998263,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579530085,2026-09-01
Corazón de Montaña,hotel,,+54 9 11 5409 4929,,,,https://www.argentinaturismo.com.ar/corazondemontania/,,-32.3732853,-64.9895338,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579572706,2026-09-01
Cabañas El Jacarandá,chalet,Avenida de la Luna 649,+54 2656 47 9195,,,,https://www.argentinaturismo.com.ar/jacaranda/,,-32.3435763,-65.0007046,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579572717,2026-09-01
La Victoria,chalet,Avenida José Alberto Mercau 50,+54 2656 47 8517,,,,https://www.argentinaturismo.com.ar/lavictoria/,,-32.3509215,-64.9960404,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579593621,2026-09-01
Las Mariposas,hotel,"Padre Pablo Tissera 1756, Villa de Merlo",+54 9 11 5726 8995,,,,,,-32.3465262,-64.9887605,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579636168,2026-09-01
Tala Huasi,chalet,"Marte 185, Villa de Merlo",+54 9 11 6053 3836,,,,https://www.argentinaturismo.com.ar/talahuasicabanias/,,-32.3523515,-65.0002021,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579653764,2026-09-01
Cabañas Medalla Milagrosa,chalet,"Chumamaya, Villa de Merlo",+54 9 221 556 7365,,,,,,-32.3392498,-64.9886242,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579917172,2026-09-01
Cabañas Taparacu,chalet,,+54 9 2657 52 5666,,,,https://www.argentinaturismo.com.ar/cabanastaparacu/,,-32.3628525,-64.9969366,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579926897,2026-09-01
Cabañas Don Augusto,chalet,"Fermín Romero, Villa de Merlo",+54 353 411 8649,,,,https://www.argentinaturismo.com.ar/donaugusto/,,-32.3232464,-65.02506,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579932346,2026-09-01
Cabañas La Comarca,chalet,"19 de Septiembre, Villa de Merlo",+54 2656 47 9815,,,,https://www.argentinaturismo.com.ar/lacomarca/,,-32.3232871,-65.0008679,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579934388,2026-09-01
El Paseo del Zorzal,chalet,Juan B. Justo 2551,+54 2656 49 2233,,,,https://www.argentinaturismo.com.ar/paseodelzorzal/,,-32.3497058,-64.9769993,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579937441,2026-09-01
Lirios del Valle,chalet,"Poeta Conti, Villa de Merlo",+54 2656 474062,,,,https://www.argentinaturismo.com.ar/liriosdelvalle/,,-32.3518655,-65.0100726,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2579943816,2026-09-01
Antawara Cabañas de Montaña,hostel,"La Mazamorra, Villa de Merlo",+54 2656 477790,,,,https://www.argentinaturismo.com.ar/antawara/,,-32.3441579,-64.9798869,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2580096150,2026-09-01
Casanovas Cabañas,chalet,"San Isidro 371, Villa de Merlo",+54 2656 470526,,,,https://www.argentinaturismo.com.ar/casanovas/,,-32.3525146,-65.0076911,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2580391746,2026-09-01
El Aljibe Cabañas,chalet,"Cerro de las Ovejas 402, Villa de Merlo",+54 2656 474080,,,,https://www.argentinaturismo.com.ar/elaljibe/,,-32.3494025,-65.0068278,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2580397050,2026-09-01
Complejo Inca Viracocha,chalet,"Pedernera, Villa de Merlo",+54 2656 474300,,,,https://www.argentinaturismo.com.ar/incaviracocha/,,-32.347628,-65.0094006,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2581250394,2026-09-01
Cabañas Altos del Centro,chalet,"Poeta Agüero 765, Villa de Merlo",+54 9 266 450 1761,,,,www.altos-centro.com.ar,,-32.3415038,-65.0152616,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2582460455,2026-09-01
Cabañas Khami,chalet,"Av. Del Deporte, Villa de Merlo",+54 2656 476094,,,,https://www.argentinaturismo.com.ar/khami/,,-32.340497,-65.0036947,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583173687,2026-09-01
Las Cabañas de Merlo,hostel,,+54 9 299 524 1556,,,,https://www.argentinaturismo.com.ar/cabaniasdemerlo/,,-32.361208,-64.9945617,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583175531,2026-09-01
Cabañas Quechalen,hostel,,+54 2656 49 0117,,,,www.quechalen.com.ar,,-32.411202,-64.978717,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583537068,2026-09-01
Cabañas y Camping La Sorpresa,hostel,,+54 2656 47 9067,,,,https://www.campinglasorpresa.com.ar/,,-32.4060307,-65.0159371,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583573160,2026-09-01
