nombre,categoria,direccion,telefonos,telefonos_notas,email,instagram,web,etiquetas,url_origen,fecha_extraccion,posible_duplicado
Luz del Rincón,Vatt,Maipú 82 (Entre Reina Mora y Los Pájaros),3416864657,,,@luz_del_rincon,,Pileta,https://villademerlo.tur.ar/alojamiento/luz-del-rincon/,2026-08-31,
Marisol Dolce,Cabañas,Los Tilos 220,2664757684,,labonituramerlosanluis@gmail.com,@Labonitura.merlo,,Accesible | Pileta,https://villademerlo.tur.ar/alojamiento/marisol-dolce/,2026-08-31,
Merlo Trail Lodge,Cabañas,Avenida Jose A. Mercau 163,2664906775,,merlotraillodge@gmail.com,@MerloTrailLodge,https://www.merlotraillodge.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/merlo-trail-lodge/,2026-08-31,
Morada del Cóndor,Cabañas,"Laurel 710, Cerro de Oro",1159592545,,,@moradadelcondor,http://www.moradadelcondor.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/morada-del-condor/,2026-08-31,
Nogales del Rincón,Cabañas,Av de los Cesares 2190,2664882848,,nogalesdelrinconmerlo@gmail.com,@ nogalesdelrincon,http://www.nogalesdelrincon.com.ar,Pet Friendly | Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/nogales-del-rincon/,2026-08-31,
Nona Olga,Cabañas,Cerro Blanco Y Cañada De Los Zainos,2664555493,,haydblanco@yahoo.com.ar,@haydeebiassi,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/nona-olga/,2026-08-31,nombre parecido a 'Nona Olga II' (similitud 0.86)
Nona Olga II,Cabañas,Coronel Pringles 162,2664555493,,haydblanco@yahoo.com.ar,@haydeebiassi,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/nona-olga-ii/,2026-08-31,nombre parecido a 'Nona Olga' (similitud 0.86)
Oli House,Vatt,Conlara 555,2664347794,,olimaganja1@gmail.com,,,,https://villademerlo.tur.ar/alojamiento/oli-house/,2026-08-31,
Paradiso Hotel & Spa,Hotel,Av. Del Sol 1389,2664256208 | 2656475118,,administracion1@paradisohotel.com,@paradisohotelspa Facebook: Paradiso Hotel & Spa,,Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/paradiso-hotel-spa/,2026-08-31,
Pio Pio,Cabañas,Jupiter 1349,1144171869,,,,http://www.cabanaspiopiomerlo.com.ar/,Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/pio-pio/,2026-08-31,
Posada de las Sierras,Vatt,Cerro Azul 237 y Poeta Conti,,,,,,Pileta,https://villademerlo.tur.ar/alojamiento/posada-de-las-sierras/,2026-08-31,nombre parecido a 'Ecos de las Sierras' (similitud 0.85)
Rincón del Tomero,Cabañas,Huracán 24.,1161537904 | 1158435022,Evelyn | Rita,,@rincondeltomero.merlo,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/el-rincon-del-tomero/,2026-08-31,
Rumi Cani,Cabañas,"Avenida de LA Luna 202, esq, Júpiter.",358154301496,,,@cab.rumicani,http://www.rumicani.com.ar/,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/rumi-cani/,2026-08-31,
Tara Inti,Vatt,Las Lajas 160,2664555211,,,@complejo.tarainti,,Accesible | Apto para Celíacos,https://villademerlo.tur.ar/alojamiento/tara-inti/,2026-08-31,
Tatiana,Vatt,Juan de Videla 868 Whatsapp 1161266696,,,,@elcardal.merlo,https://apartstatiana.wordpress.com/,Pileta,https://villademerlo.tur.ar/alojamiento/horus-copia/,2026-08-31,
Terraza terraza Merlo Apartments,Cabañas,Cacique Catriel n°26,2664326312,,terrazaterraza.merloapartments@gmail.com,@Terrazaterraza.merloapartments Facebook: Terraza Terraza Merlo Apartments,,Pileta,https://villademerlo.tur.ar/alojamiento/terraza-terraza-merlo-apartments/,2026-08-31,
Uma-In,Cabañas,Tres Marías 1010,2664253183,,marcelidiamunoz@gmail.com,@cabanasumainmerlosanluis35,,,https://villademerlo.tur.ar/alojamiento/uma-in/,2026-08-31,
